place_id,canonical_name,event_id,public_event_id,public_chronology_url,chronology,local_path,line,matched_aliases,headline,book_anchor_ranges,book_anchor_urls,source_keys,source_urls
sanborn_house_sudbury_road,Franklin Sanborn / Channing-Fuller-Sanborn house candidate,thoreau_chronology:111,thoreau-22,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-thoreau-22,Thoreau,thoreau_biographies_chronology/thoreau_chronology.md,111,Sanborn's house,"April 3, 1860 - Thoreau helps guard Sanborn's house after the failed federal arrest attempt. Check: Fuller-confirmed for Thoreau's role; web-confirmed for the arrest attempt. Sources: F16; W-Sanborn, W-SecretSix.",1187-1296; 2603-2644,https://closereading.rahuldave.us/books/125/chapters/6977#cell-0; https://closereading.rahuldave.us/books/125/chapters/6977#cell-53; https://closereading.rahuldave.us/books/125/chapters/6986#cell-404; https://closereading.rahuldave.us/books/125/chapters/6986#cell-424,F16; W-Sanborn; W-SecretSix,https://en.wikipedia.org/wiki/Franklin_Benjamin_Sanborn; https://en.wikipedia.org/wiki/Secret_Six
concord_lyceum,Concord Town House / Concord Lyceum,thoreau_chronology:38,thoreau-7,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-thoreau-7,Thoreau,thoreau_biographies_chronology/thoreau_chronology.md,38,Concord Lyceum,"January-February 1848 - Thoreau lectures at the Concord Lyceum on the rights and duties of the individual toward government. Check: web-confirmed for lecture/publication sequence; Fuller-confirmed for its later antislavery placement. Sources: F7; W-CivilDisobedience, W-Thoreau.",2141-2218; 581-658,https://closereading.rahuldave.us/books/125/chapters/6968#cell-0; https://closereading.rahuldave.us/books/125/chapters/6968#cell-37; https://closereading.rahuldave.us/books/125/chapters/6986#cell-173; https://closereading.rahuldave.us/books/125/chapters/6986#cell-211,F7; W-CivilDisobedience; W-Thoreau,https://en.wikipedia.org/wiki/Civil_Disobedience_(essay); https://en.wikipedia.org/wiki/Henry_David_Thoreau
concord_lyceum,Concord Town House / Concord Lyceum,thoreau_chronology:91,thoreau-18,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-thoreau-18,Thoreau,thoreau_biographies_chronology/thoreau_chronology.md,91,the Lyceum,"Late January 1860 - Thoreau obtains the American Appleton edition of Origin from the Concord library and begins taking notes. Check: Fuller-confirmed private reading date; web-confirmed for the American edition/publication context. Sources: F1, F6, F7, F14; W-Origin, DarwinOnline-Origin, W-Thoreau.",1007-1078; 1847-1886; 2067-2140; 2141-2218; 235-294; 2519-2566; 501-580; 581-658,https://closereading.rahuldave.us/books/125/chapters/6962#cell-0; https://closereading.rahuldave.us/books/125/chapters/6962#cell-28; https://closereading.rahuldave.us/books/125/chapters/6967#cell-0; https://closereading.rahuldave.us/books/125/chapters/6967#cell-38; https://closereading.rahuldave.us/books/125/chapters/6968#cell-0; https://closereading.rahuldave.us/books/125/chapters/6968#cell-37; https://closereading.rahuldave.us/books/125/chapters/6975#cell-0; https://closereading.rahuldave.us/books/125/chapters/6975#cell-34; https://closereading.rahuldave.us/books/125/chapters/6986#cell-136; https://closereading.rahuldave.us/books/125/chapters/6986#cell-172; https://closereading.rahuldave.us/books/125/chapters/6986#cell-173; https://closereading.rahuldave.us/books/125/chapters/6986#cell-211; https://closereading.rahuldave.us/books/125/chapters/6986#cell-26; https://closereading.rahuldave.us/books/125/chapters/6986#cell-362; https://closereading.rahuldave.us/books/125/chapters/6986#cell-385; https://closereading.rahuldave.us/books/125/chapters/6986#cell-45,DarwinOnline-Origin; F1; F14; F6; F7; W-Origin; W-Thoreau,https://darwin-online.org.uk/EditorialIntroductions/Freeman_OntheOriginofSpecies.html; https://en.wikipedia.org/wiki/Henry_David_Thoreau; https://en.wikipedia.org/wiki/On_the_Origin_of_Species
concord_lyceum,Concord Town House / Concord Lyceum,thoreau_chronology:96,thoreau-19,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-thoreau-19,Thoreau,thoreau_biographies_chronology/thoreau_chronology.md,96,Lyceum; the Lyceum,"February 1860 - Thoreau and Bronson Alcott argue about Darwin after Higginson's Lyceum lecture. Check: web-confirmed context; Fuller-confirmed private/book-specific date or placement. Sources: F6; W-Thoreau, W-AmosBronsonAlcott.",2067-2140; 501-580,https://closereading.rahuldave.us/books/125/chapters/6967#cell-0; https://closereading.rahuldave.us/books/125/chapters/6967#cell-38; https://closereading.rahuldave.us/books/125/chapters/6986#cell-136; https://closereading.rahuldave.us/books/125/chapters/6986#cell-172,F6; W-AmosBronsonAlcott; W-Thoreau,https://en.wikipedia.org/wiki/Amos_Bronson_Alcott; https://en.wikipedia.org/wiki/Henry_David_Thoreau
concord_lyceum,Concord Town House / Concord Lyceum,thoreau_chronology:116,thoreau-23,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-thoreau-23,Thoreau,thoreau_biographies_chronology/thoreau_chronology.md,116,Concord Town House; Town House,"April 4, 1860 - Thoreau speaks at the Concord Town House rally after Sanborn's discharge. Check: Fuller-confirmed for speech; web-confirmed for Sanborn arrest context. Sources: F16; W-Thoreau, W-Sanborn, W-SecretSix.",1187-1296; 2603-2644,https://closereading.rahuldave.us/books/125/chapters/6977#cell-0; https://closereading.rahuldave.us/books/125/chapters/6977#cell-53; https://closereading.rahuldave.us/books/125/chapters/6986#cell-404; https://closereading.rahuldave.us/books/125/chapters/6986#cell-424,F16; W-Sanborn; W-SecretSix; W-Thoreau,https://en.wikipedia.org/wiki/Franklin_Benjamin_Sanborn; https://en.wikipedia.org/wiki/Henry_David_Thoreau; https://en.wikipedia.org/wiki/Secret_Six
concord_lyceum,Concord Town House / Concord Lyceum,sanborn_chronology:54,sanborn-10,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-sanborn-10,Sanborn,thoreau_biographies_chronology/sanborn_chronology.md,54,the Lyceum,"January 1, 1860 - Sanborn hosts the Origin dinner with Thoreau, Charles Loring Brace, and Bronson Alcott. Check: web-confirmed context; Fuller-confirmed private/book-specific date or placement. Sources: F1, F4, F6; W-Sanborn, W-Thoreau, W-Brace, W-AmosBronsonAlcott, W-Origin.",1847-1886; 1937-2014; 2067-2140; 235-294; 373-450; 501-580,https://closereading.rahuldave.us/books/125/chapters/6962#cell-0; https://closereading.rahuldave.us/books/125/chapters/6962#cell-28; https://closereading.rahuldave.us/books/125/chapters/6965#cell-0; https://closereading.rahuldave.us/books/125/chapters/6965#cell-37; https://closereading.rahuldave.us/books/125/chapters/6967#cell-0; https://closereading.rahuldave.us/books/125/chapters/6967#cell-38; https://closereading.rahuldave.us/books/125/chapters/6986#cell-109; https://closereading.rahuldave.us/books/125/chapters/6986#cell-136; https://closereading.rahuldave.us/books/125/chapters/6986#cell-172; https://closereading.rahuldave.us/books/125/chapters/6986#cell-26; https://closereading.rahuldave.us/books/125/chapters/6986#cell-45; https://closereading.rahuldave.us/books/125/chapters/6986#cell-71,F1; F4; F6; W-AmosBronsonAlcott; W-Brace; W-Origin; W-Sanborn; W-Thoreau,https://en.wikipedia.org/wiki/Amos_Bronson_Alcott; https://en.wikipedia.org/wiki/Charles_Loring_Brace; https://en.wikipedia.org/wiki/Franklin_Benjamin_Sanborn; https://en.wikipedia.org/wiki/Henry_David_Thoreau; https://en.wikipedia.org/wiki/On_the_Origin_of_Species
concord_lyceum,Concord Town House / Concord Lyceum,sanborn_chronology:69,sanborn-13,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-sanborn-13,Sanborn,thoreau_biographies_chronology/sanborn_chronology.md,69,Lyceum; the Lyceum,"January 22, 1860 - Sanborn flees again while Concord attends Higginson's Lyceum lecture. Check: web-confirmed context; Fuller-confirmed private/book-specific date or placement. Sources: F6; W-Sanborn.",2067-2140; 501-580,https://closereading.rahuldave.us/books/125/chapters/6967#cell-0; https://closereading.rahuldave.us/books/125/chapters/6967#cell-38; https://closereading.rahuldave.us/books/125/chapters/6986#cell-136; https://closereading.rahuldave.us/books/125/chapters/6986#cell-172,F6; W-Sanborn,https://en.wikipedia.org/wiki/Franklin_Benjamin_Sanborn
concord_lyceum,Concord Town House / Concord Lyceum,sanborn_chronology:89,sanborn-17,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-sanborn-17,Sanborn,thoreau_biographies_chronology/sanborn_chronology.md,89,Concord Town House; Town House,"April 4, 1860 - Sanborn turns his handcuffs into a public emblem of slavery at the Concord Town House. Check: Fuller-confirmed for speech; web-confirmed context for arrest episode. Sources: F16; W-Sanborn, W-SecretSix.",1187-1296; 2603-2644,https://closereading.rahuldave.us/books/125/chapters/6977#cell-0; https://closereading.rahuldave.us/books/125/chapters/6977#cell-53; https://closereading.rahuldave.us/books/125/chapters/6986#cell-404; https://closereading.rahuldave.us/books/125/chapters/6986#cell-424,F16; W-Sanborn; W-SecretSix,https://en.wikipedia.org/wiki/Franklin_Benjamin_Sanborn; https://en.wikipedia.org/wiki/Secret_Six
concord_lyceum,Concord Town House / Concord Lyceum,bronson_alcott_chronology:17,alcott-3,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-alcott-3,Bronson Alcott,thoreau_biographies_chronology/bronson_alcott_chronology.md,17,the Lyceum,"September 22, 1834 - Alcott opens the Temple School in Boston. Check: web-confirmed. Sources: F6; W-AmosBronsonAlcott, W-TempleSchool.",2067-2140; 501-580,https://closereading.rahuldave.us/books/125/chapters/6967#cell-0; https://closereading.rahuldave.us/books/125/chapters/6967#cell-38; https://closereading.rahuldave.us/books/125/chapters/6986#cell-136; https://closereading.rahuldave.us/books/125/chapters/6986#cell-172,F6; W-AmosBronsonAlcott; W-TempleSchool,https://en.wikipedia.org/wiki/Amos_Bronson_Alcott; https://en.wikipedia.org/wiki/Temple_School_(Massachusetts)
concord_lyceum,Concord Town House / Concord Lyceum,bronson_alcott_chronology:22,alcott-4,https://rahuldave.com/thoreau_biographies_chronology/aligned_chronologies.html#event-alcott-4,Bronson Alcott,thoreau_biographies_chronology/bronson_alcott_chronology.md,22,the Lyceum,"1835 - Elizabeth Palmer Peabody publishes Record of a School about Alcott's Temple School. Check: web-confirmed. Sources: F6; W-AmosBronsonAlcott, W-TempleSchool.",2067-2140; 501-580,https://closereading.rahuldave.us/books/125/chapters/6967#cell-0; https://closereading.rahuldave.us/books/125/chapters/6967#cell-38; https://closereading.rahuldave.us/books/125/chapters/6986#cell-136; https://closereading.rahuldave.us/books/125/chapters/6986#cell-172,F6; W-AmosBronsonAlcott; W-TempleSchool,https://en.wikipedia.org/wiki/Amos_Bronson_Alcott; https://en.wikipedia.org/wiki/Temple_School_(Massachusetts)
